Disease,Medicine_1,Medicine_2,Medicine_3,Medicine_4,Notes
Fungal infection,Clotrimazole (topical),Fluconazole (oral),Terbinafine,Ketoconazole shampoo,Keep affected area dry; complete full antifungal course
Hepatitis C,Sofosbuvir + Daclatasvir,Ledipasvir + Sofosbuvir,Ribavirin,Pegylated Interferon,Highly curable with modern antivirals; consult hepatologist
Migraine,Sumatriptan (triptan),Ibuprofen/Naproxen,Paracetamol + Caffeine,Topiramate (preventive),Rest in dark quiet room; identify and avoid triggers
Bronchial Asthma,Salbutamol inhaler (reliever),Budesonide inhaler (preventer),Montelukast,Prednisolone (acute attack),Always carry reliever inhaler; avoid triggers like dust and smoke
Alcoholic hepatitis,Corticosteroids (Prednisolone),Pentoxifylline,Thiamine (Vitamin B1),Nutritional supplements,Complete alcohol abstinence is essential; specialist care required
Jaundice,Treat underlying cause,Ursodeoxycholic acid,IV fluids,Liver support supplements,Jaundice is a symptom not a disease; diagnosis of cause is critical
Hepatitis E,Supportive care (rest & fluids),Ribavirin (immunocompromised),Paracetamol (fever/pain),Antiemetics,Usually self-limiting; avoid alcohol; safe water and food hygiene
Dengue,Paracetamol (for fever — NOT Aspirin/Ibuprofen),Oral rehydration salts (ORS),IV fluids (severe),Platelet transfusion (if very low),Avoid NSAIDs; monitor platelet count; no specific antiviral
Hepatitis D,Pegylated Interferon alfa,Tenofovir,Supportive care,Liver transplant (end-stage),Only occurs with Hepatitis B; Hep B vaccination prevents Hep D
Heart attack,Aspirin (immediately),Nitroglycerin,Thrombolytics (tPA),Beta-blockers (Metoprolol),EMERGENCY — call ambulance immediately; time is critical
Pneumonia,Amoxicillin,Azithromycin,Levofloxacin,Paracetamol + rest,Severe cases require hospitalization; vaccination available
Arthritis,NSAIDs (Ibuprofen/Naproxen),Methotrexate (RA),Hydroxychloroquine,Corticosteroids,Physiotherapy and exercise important; type of arthritis determines treatment
Gastroenteritis,Oral rehydration salts (ORS),Zinc supplements,Loperamide (diarrhea),Ondansetron (nausea/vomiting),Rest and hydration are key; avoid dairy temporarily
Tuberculosis,Isoniazid + Rifampicin + Pyrazinamide + Ethambutol,Streptomycin,Pyridoxine (Vitamin B6),Directly Observed Therapy (DOT),6-month treatment course must be completed; drug resistance is a concern
